S.No,"Order No","Invoice ID","Billing Name","Billing Email","Billing Phone","Billing Address","Billing City","Billing State","Billing Zipcode","Billing Country","Vendor Name","Vendor Email","Vendor Phone","User Name","User Email","User Phone","Order Status",Total,"Shipping Name","Shipping Email","Shipping Phone","Shipping Address","Shipping City","Shipping State","Shipping Zipcode",PaymentMethodType,PaymentMethod,ShippingMethod,TrackingNo,"Transaction ID","Settlement UTR","Payment Method","Payment Method Type",Notes,Logs,Created
1,#12,2023/08/012,Vikky,vikky@gmail.com,345345345,dfg,Jaipur,Raj,302012,Jaipur,"Vishal Vendor",vb@vb.com,9910548954,Vikky,vikky@gmail.com,345345345,RTO,7036.00,Vikky,vikky@gmail.com,345345345,dfg,Jaipur,Raj,302012,COD,PAYTM,"Vishal Logistics",23434655,,,PAYTM,COD,"[{""notes"":""Actual Notes Actual Notes Actual Notes""},{""notes"":""dsdsdsd""}]","[{""log"":""Order status changed from Open to Paid""},{""log"":""Notes added""},{""log"":""Order status changed from Paid to Shipped""},{""log"":""update tracking no jklkjg""},{""log"":""Notes added""},{""log"":""update tracking no 23434655""},{""log"":""Order status changed from Delivered to RTO""}]","2023-08-23 06:24:30"
2,#11,2023/08/011,Vikky,vikky@gmail.com,345345345,dfg,Jaipur,Raj,302012,Jaipur,"Vishal Vendor",vb@vb.com,9910548954,Vikky,vikky@gmail.com,345345345,Open,6834.00,Vikky,vikky@gmail.com,345345345,dfg,Jaipur,Raj,302012,COD,PAYTM,"Vishal Logistics",,,,PAYTM,COD,"[{""notes"":""Note 1 Note 2 Notes 3""},{""notes"":""XPB AWB: 1429764587645""}]",null,"2023-08-23 03:49:33"
3,#10,2023/08/010,"vb c",vb@yu.com,12345,"GGN add",GGN,HRY,122233,GGN,"Aayush Bharat",--,--,"vb c",vb@yu.com,12345,Open,162.60,"vb c",vb@yu.com,12345,"GGN add",GGN,HRY,122233,COD,PAYTM,"Shipping Method One",,,,PAYTM,COD,null,null,"2023-08-21 11:52:52"
4,#9,2023/08/009,VB,123123@gmail,dfsdfs,"GGN Billing",GGN,HRY,sdfdfs,GGN,"Vishal Vendor",vb@vb.com,9910548954,VB,123123@gmail,dfsdfs,Open,260.00,VB,123123@gmail,dfsdfs,"GGN Billing",GGN,HRY,sdfdfs,COD,PAYTM,"Vishal Logistics",,,,PAYTM,COD,null,null,"2023-08-21 11:23:47"
5,#8,2023/08/008,"vb c",vb@yu.com,12345,"GGN add",GGN,HRY,122233,GGN,"Vishal Vendor",vb@vb.com,9910548954,"vb c",vb@yu.com,12345,Open,260.00,"vb c",vb@yu.com,12345,"GGN add",GGN,HRY,122233,COD,PAYTM,"Vishal Logistics",,,,PAYTM,COD,null,null,"2023-08-21 11:23:11"
6,#7,2023/08/007,"vb c",vb@yu.com,12345,"GGN add",GGN,HRY,122233,GGN,"Vishal Vendor",vb@vb.com,9910548954,"vb c",vb@yu.com,12345,Paid,170.45,"vb c",vb@yu.com,12345,"GGN add",GGN,HRY,122233,PREPAID,PAYTM,"Vishal Logistics",14356792344,,,PAYTM,PREPAID,"[{""notes"":""Test Notes Test Notes Test Notes Test Notes Test Notes Test Notes Test Notes Test Notes Test Notes Test Notes""},{""notes"":""Line 1 ... ENTER Line 2 ... ENTER Line 3 ... ENTER Line 4 ... ENTER Line 5 ... ENTER Line 6 ... ENTER Line 7 ... ENTER""},{""notes"":""sdflkndslf dflknsdf ljfbkdjf""}]",null,"2023-08-20 03:20:46"
7,#6,2023/08/006,"vb c",vb@yu.com,12345,"GGN add",GGN,HRY,122233,GGN,"Narendra Vendor",testvendor@gmail.com,3453453453,"vb c",vb@yu.com,12345,Open,340.20,"vb c",vb@yu.com,12345,"GGN add",GGN,HRY,122233,COD,PAYTM,"Narendra Shipping",,,,PAYTM,COD,"[{""notes"":""sdflkldkf dflkdlf""},{""notes"":""sdfsd""}]",null,"2023-08-17 09:32:18"
8,#5,2023/08/005,"vb c",vb@yu.com,12345,"GGN add",GGN,HRY,122233,GGN,"Vishal Vendor",vb@vb.com,9910548954,"vb c",vb@yu.com,12345,Shipped,14169.50,"vb c",vb@yu.com,12345,"GGN add",GGN,HRY,122233,COD,PAYTM,"Vishal Logistics",,,,PAYTM,COD,"[{""notes"":""sdflkldkf dflkdlf""}]",null,"2023-08-17 09:32:18"
9,#4,2023/08/004,"vb c",vb@yu.com,12345,"GGN add",GGN,HRY,122233,GGN,"Aayush Bharat",--,--,"vb c",vb@yu.com,12345,Paid,356.20,"vb c",vb@yu.com,12345,"GGN add",GGN,HRY,122233,COD,PAYTM,"Shipping Method One",,,,PAYTM,COD,"[{""notes"":""sdflkldkf dflkdlf""}]",null,"2023-08-17 09:32:18"
10,#3,2023/08/003,"Narendra Jangid",nitam1989@gmail.com,7737406899,"#897 Test Road",Jaipur,Raj,899483,Jaipur,"Aayush Bharat",--,--,"Narendra Jangid",nitam1989@gmail.com,7737406899,Shipped,154.50,"Narendra Jangid",nitam1989@gmail.com,7737406899,"#897 Test Road",Jaipur,Raj,899483,COD,PAYTM,"Shipping Method One",534534534,,,PAYTM,COD,null,null,"2023-08-17 04:40:24"
